epoch,train_loss,val_loss,val_acc
1,1.81577713442936,1.6570908775577298,0.46517311608961304
2,1.5636889810282555,1.5580516449816815,0.5376782077393075
3,1.4638201739966674,1.4580299296936432,0.5588594704684318
4,1.416336259546808,1.4127620458602905,0.5812627291242363
5,1.3646200481765822,1.3569313566406052,0.6142566191446028
6,1.325815024321553,1.345411508114307,0.6126272912423625
7,1.2909640994056428,1.3111956421431008,0.6252545824847251
8,1.2639194125072963,1.3036489757624539,0.6142566191446028
9,1.2376641004015647,1.2802607231325918,0.6419551934826884
10,1.2170653038382142,1.2581456845456904,0.6582484725050917
11,1.2023409659388788,1.2468972995683745,0.6765784114052953
12,1.1667973323443037,1.2460435350219925,0.6578411405295316
13,1.1708708857868704,1.2412631132385947,0.6733197556008147
14,1.1439220014146563,1.232793906292358,0.6802443991853361
15,1.1272662740188624,1.2100817553408734,0.6773930753564155
16,1.1095022982417178,1.2035511879177836,0.6826883910386965
17,1.100163738580014,1.2015611444200789,0.6932790224032587
18,1.0811430728396687,1.2021894114358085,0.6749490835030549
19,1.0737813025810043,1.199471095165649,0.6916496945010183
20,1.0671932347822655,1.1843803679788267,0.7034623217922606
21,1.046388774430713,1.1853660507635637,0.7042769857433808
22,1.043779281335079,1.182175827490819,0.7059063136456212
23,1.025864511048755,1.1702582480071426,0.6989816700610998
24,1.021589891724167,1.177337117783435,0.7091649694501019
25,1.0071454964553883,1.1769224505919915,0.7120162932790224
26,1.0054115563728134,1.1702729246833108,0.7112016293279022
27,0.9949411027594576,1.1931257046662367,0.7046843177189409
28,0.9892960435404451,1.1615195405947698,0.7112016293279022
29,0.9669368358310737,1.1865766040690533,0.7091649694501019
30,0.9588880556414104,1.1837715073065325,0.709572301425662
