epoch,train_loss,val_loss,val_acc
1,1.8160952562617945,1.644978639367339,0.4737270875763748
2,1.5635682375500954,1.503562925697921,0.5279022403258656
3,1.4697776803752887,1.4839316265923637,0.5433808553971486
4,1.4155473006276431,1.4071664113502997,0.584928716904277
5,1.3708223166605549,1.3649414793237464,0.6057026476578411
6,1.3332625033412773,1.3642396570800186,0.6004073319755601
7,1.2958052715571773,1.32086674191735,0.6293279022403259
8,1.2730645234499383,1.291484131441488,0.6374745417515275
9,1.2373730074310925,1.2914581654907822,0.6423625254582485
10,1.2116252488732726,1.2677782294038054,0.6435845213849287
11,1.1894397704531394,1.2699511863968589,0.6541751527494908
12,1.1833898487230854,1.2620886177211612,0.6688391038696537
13,1.1554617221658314,1.2447573952860647,0.6509164969450102
14,1.1422446894335048,1.2450242654069679,0.6761710794297352
15,1.128315009395152,1.2118692444516468,0.6688391038696537
16,1.124474212867041,1.2078919844193892,0.6712830957230143
17,1.1043230279649119,1.2073823902514074,0.674541751527495
18,1.091054361301447,1.2000983814140418,0.690020366598778
19,1.0777719158691381,1.191058457671822,0.6908350305498981
20,1.0558577515791605,1.211561444517854,0.6773930753564155
21,1.0535756328206884,1.201930878224311,0.6969450101832994
22,1.0395245957840538,1.1892623762031653,0.6945010183299389
23,1.0217914466749185,1.1794700266478897,0.6932790224032587
24,1.016923678814394,1.1704310426464328,0.7026476578411406
25,1.014081005164777,1.1961588015804043,0.685132382892057
26,1.003214025342115,1.1874963199937498,0.7006109979633401
27,0.9951643103108733,1.1687030320043688,0.7164969450101834
28,0.9821538181568978,1.1736872629685835,0.6969450101832994
29,0.9655965712249085,1.1653087688730908,0.7152749490835031
30,0.9634644958017703,1.1713545121155775,0.7124236252545825
